               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0. 5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10108,           0.0033499,           0.0094171,             0.43353,             0.35614,             0.31514,             0.17946,            0.067787,           0.0026168,           0.0077584,           0.0015991,           0.0015991,            0.026613
                   1,             0.08071,           0.0024946,           0.0076503,             0.52987,             0.36892,             0.38195,             0.22021,            0.063926,           0.0021442,           0.0066078,            0.003199,            0.003199,            0.003213
                   2,            0.078482,           0.0022896,           0.0070596,             0.53869,             0.39241,               0.404,             0.23502,             0.06294,           0.0020317,           0.0062771,           0.0031997,           0.0031997,           0.0031997
                   3,            0.077386,           0.0022434,           0.0068507,             0.50786,              0.4239,             0.41399,             0.24261,            0.062307,           0.0020064,           0.0061315,           0.0031997,           0.0031997,           0.0031997
                   4,            0.076849,           0.0022342,           0.0067221,             0.54793,             0.41293,              0.4215,              0.2486,            0.061945,           0.0019797,           0.0060412,           0.0031994,           0.0031994,           0.0031994
                   5,             0.07626,           0.0022072,           0.0066191,             0.54645,             0.41225,             0.42311,              0.2498,            0.061685,            0.001954,           0.0059923,           0.0031989,           0.0031989,           0.0031989
                   6,            0.075889,           0.0022024,           0.0065475,             0.52007,              0.4348,             0.42921,              0.2541,            0.061365,           0.0019484,           0.0059186,           0.0031983,           0.0031983,           0.0031983
                   7,            0.075578,           0.0021748,           0.0064874,             0.55591,             0.41858,             0.43101,             0.25593,            0.061154,            0.001936,           0.0058795,           0.0031976,           0.0031976,           0.0031976
                   8,            0.075357,           0.0021796,           0.0064622,             0.52685,             0.44287,             0.43731,             0.25945,            0.060954,           0.0019257,           0.0058229,           0.0031967,           0.0031967,           0.0031967
                   9,            0.075088,           0.0021576,           0.0063925,             0.53972,             0.43703,             0.43963,             0.26225,            0.060741,           0.0019127,           0.0057654,           0.0031957,           0.0031957,           0.0031957
                  10,            0.074867,           0.0021635,           0.0063471,             0.55897,              0.4337,             0.44189,             0.26367,            0.060609,           0.0019065,           0.0057612,           0.0031945,           0.0031945,           0.0031945
                  11,            0.074825,           0.0021601,            0.006327,             0.54389,             0.44414,             0.44399,             0.26507,            0.060446,           0.0018987,           0.0057188,           0.0031932,           0.0031932,           0.0031932
                  12,            0.074632,           0.0021477,           0.0062757,             0.56128,             0.43559,             0.44596,             0.26658,            0.060321,           0.0018929,           0.0056968,           0.0031918,           0.0031918,           0.0031918
                  13,            0.074465,           0.0021372,           0.0062625,              0.5524,             0.44439,             0.44943,             0.26935,            0.060222,            0.001887,           0.0056743,           0.0031902,           0.0031902,           0.0031902
                  14,            0.074362,           0.0021132,           0.0062375,             0.55835,             0.44299,             0.45185,             0.27102,            0.060119,           0.0018816,           0.0056492,           0.0031885,           0.0031885,           0.0031885
                  15,            0.074212,           0.0021187,           0.0062053,             0.54391,             0.45331,             0.45286,             0.27144,            0.060047,           0.0018785,           0.0056364,           0.0031867,           0.0031867,           0.0031867
                  16,            0.074181,           0.0021398,           0.0061946,             0.54224,             0.45766,              0.4543,              0.2724,            0.059971,           0.0018757,           0.0056245,           0.0031848,           0.0031848,           0.0031848
                  17,            0.073775,           0.0021084,           0.0061206,              0.5676,             0.44488,             0.45549,             0.27342,            0.059885,           0.0018729,           0.0056114,           0.0031827,           0.0031827,           0.0031827
                  18,            0.073783,           0.0021156,           0.0060926,             0.55625,             0.45331,             0.45659,             0.27422,            0.059827,           0.0018709,           0.0055996,           0.0031804,           0.0031804,           0.0031804
                  19,            0.073841,           0.0021159,            0.006125,             0.56657,             0.44827,             0.45739,             0.27493,            0.059776,           0.0018687,           0.0055861,           0.0031781,           0.0031781,           0.0031781
                  20,            0.073569,           0.0020885,            0.006107,             0.57995,             0.44068,             0.45792,             0.27541,            0.059726,           0.0018667,           0.0055773,           0.0031756,           0.0031756,           0.0031756
                  21,              0.0737,           0.0021113,           0.0060718,             0.58576,             0.43832,             0.45842,             0.27579,            0.059686,           0.0018647,           0.0055687,           0.0031729,           0.0031729,           0.0031729
                  22,            0.073267,           0.0021016,           0.0060396,             0.56996,             0.44713,             0.45892,             0.27625,            0.059653,           0.0018633,           0.0055603,           0.0031702,           0.0031702,           0.0031702
                  23,            0.073349,           0.0021045,            0.006043,             0.57621,              0.4449,             0.45971,             0.27694,            0.059619,           0.0018614,           0.0055515,           0.0031673,           0.0031673,           0.0031673
                  24,            0.073387,           0.0020889,           0.0060344,             0.57143,             0.44879,             0.46031,             0.27734,            0.059587,           0.0018599,           0.0055434,           0.0031643,           0.0031643,           0.0031643
                  25,            0.072988,           0.0020911,           0.0060137,             0.57844,             0.44685,             0.46097,             0.27788,            0.059551,           0.0018584,           0.0055337,           0.0031611,           0.0031611,           0.0031611
                  26,            0.073122,           0.0021073,           0.0059888,             0.57333,             0.45034,             0.46177,             0.27854,            0.059516,           0.0018565,           0.0055249,           0.0031578,           0.0031578,           0.0031578
                  27,            0.073022,           0.0020895,           0.0059929,             0.56817,             0.45423,             0.46245,             0.27937,            0.059482,           0.0018548,           0.0055161,           0.0031544,           0.0031544,           0.0031544
                  28,            0.072917,           0.0020847,           0.0059597,             0.56851,             0.45544,             0.46327,             0.28003,            0.059454,           0.0018533,           0.0055075,           0.0031508,           0.0031508,           0.0031508
                  29,            0.072896,           0.0020844,            0.005963,              0.5752,             0.45249,             0.46388,             0.28048,            0.059423,           0.0018516,              0.0055,           0.0031471,           0.0031471,           0.0031471
                  30,            0.072798,           0.0020937,           0.0059289,             0.56738,             0.45764,             0.46431,             0.28086,            0.059392,           0.0018502,           0.0054936,           0.0031433,           0.0031433,           0.0031433
                  31,            0.072884,           0.0020938,           0.0059305,             0.56798,             0.45812,             0.46503,             0.28132,            0.059362,           0.0018489,           0.0054878,           0.0031394,           0.0031394,           0.0031394
                  32,            0.072604,           0.0020771,           0.0059195,             0.55358,              0.4677,             0.46523,             0.28166,            0.059331,           0.0018476,           0.0054819,           0.0031353,           0.0031353,           0.0031353
                  33,             0.07244,           0.0020812,           0.0058941,             0.55575,             0.46689,             0.46574,             0.28209,            0.059299,           0.0018465,            0.005476,           0.0031311,           0.0031311,           0.0031311
                  34,            0.072513,            0.002076,           0.0058753,             0.55344,             0.46942,             0.46618,             0.28247,             0.05927,            0.001845,           0.0054706,           0.0031268,           0.0031268,           0.0031268
                  35,             0.07248,           0.0020805,           0.0058619,             0.55793,             0.46702,              0.4667,             0.28291,            0.059239,           0.0018437,           0.0054642,           0.0031223,           0.0031223,           0.0031223
                  36,            0.072441,           0.0020799,           0.0058671,              0.5649,             0.46355,             0.46726,             0.28322,            0.059208,           0.0018421,           0.0054582,           0.0031177,           0.0031177,           0.0031177
                  37,            0.072397,           0.0020901,           0.0058697,             0.56942,             0.46221,             0.46778,             0.28357,            0.059173,           0.0018408,           0.0054523,            0.003113,            0.003113,            0.003113
                  38,             0.07216,           0.0020649,           0.0058269,             0.56371,             0.46673,             0.46836,              0.2839,            0.059145,           0.0018395,            0.005447,           0.0031081,           0.0031081,           0.0031081
                  39,            0.072292,           0.0020785,           0.0058386,             0.56311,             0.46807,             0.46864,             0.28431,            0.059115,           0.0018382,           0.0054434,           0.0031032,           0.0031032,           0.0031032
                  40,            0.072248,           0.0020609,           0.0058135,             0.56902,             0.46511,             0.46911,             0.28466,            0.059083,           0.0018366,           0.0054385,            0.003098,            0.003098,            0.003098
                  41,            0.072178,           0.0020834,           0.0058264,             0.57697,             0.46061,             0.46956,              0.2851,            0.059053,           0.0018355,           0.0054337,           0.0030928,           0.0030928,           0.0030928
                  42,            0.072168,           0.0020634,           0.0058035,             0.57762,             0.46108,             0.47033,             0.28557,            0.059019,           0.0018342,           0.0054289,           0.0030875,           0.0030875,           0.0030875
                  43,            0.071804,           0.0020614,           0.0057616,             0.57336,             0.46388,             0.47066,             0.28611,            0.058989,           0.0018329,           0.0054249,            0.003082,            0.003082,            0.003082
                  44,            0.072063,           0.0020702,           0.0057886,             0.56023,             0.47265,             0.47086,             0.28635,            0.058958,           0.0018321,           0.0054206,           0.0030764,           0.0030764,           0.0030764
                  45,            0.071899,           0.0020654,           0.0057537,             0.58437,              0.4588,             0.47147,             0.28684,            0.058929,           0.0018311,           0.0054159,           0.0030707,           0.0030707,           0.0030707
                  46,            0.071969,           0.0020677,           0.0057922,              0.5911,             0.45574,             0.47184,             0.28728,            0.058897,           0.0018302,           0.0054116,           0.0030648,           0.0030648,           0.0030648
                  47,            0.071867,             0.00207,           0.0057433,             0.56435,             0.47165,             0.47229,             0.28759,            0.058873,           0.0018292,           0.0054095,           0.0030588,           0.0030588,           0.0030588
                  48,            0.071678,           0.0020638,           0.0057316,             0.58924,             0.45823,             0.47287,             0.28788,            0.058847,           0.0018283,           0.0054059,           0.0030528,           0.0030528,           0.0030528
                  49,            0.071849,           0.0020667,           0.0057429,             0.57349,             0.46824,             0.47357,             0.28829,            0.058815,           0.0018274,           0.0054006,           0.0030465,           0.0030465,           0.0030465
                  50,            0.071665,           0.0020777,           0.0057256,             0.57499,             0.46742,             0.47424,              0.2887,            0.058786,           0.0018265,           0.0053947,           0.0030402,           0.0030402,           0.0030402
